source,target,source_type,target_type,edge_type
PYO_53,FG_016,pyoverdine,functional_group,utilization
PYO_54,FG_016,pyoverdine,functional_group,utilization
PYO_80,FG_016,pyoverdine,functional_group,utilization
PYO_90,FG_016,pyoverdine,functional_group,utilization
PYO_91,FG_016,pyoverdine,functional_group,utilization
PYO_92,FG_016,pyoverdine,functional_group,utilization
PYO_93,FG_016,pyoverdine,functional_group,utilization
PYO_12,FG_017,pyoverdine,functional_group,utilization
PYO_13,FG_017,pyoverdine,functional_group,utilization
PYO_14,FG_017,pyoverdine,functional_group,utilization
PYO_15,FG_017,pyoverdine,functional_group,utilization
PYO_16,FG_017,pyoverdine,functional_group,utilization
PYO_17,FG_017,pyoverdine,functional_group,utilization
PYO_18,FG_017,pyoverdine,functional_group,utilization
PYO_19,FG_017,pyoverdine,functional_group,utilization
PYO_20,FG_017,pyoverdine,functional_group,utilization
PYO_32,FG_017,pyoverdine,functional_group,utilization
PYO_33,FG_017,pyoverdine,functional_group,utilization
PYO_34,FG_017,pyoverdine,functional_group,utilization
PYO_35,FG_017,pyoverdine,functional_group,utilization
PYO_36,FG_017,pyoverdine,functional_group,utilization
PYO_37,FG_017,pyoverdine,functional_group,utilization
PYO_38,FG_017,pyoverdine,functional_group,utilization
PYO_39,FG_017,pyoverdine,functional_group,utilization
PYO_40,FG_017,pyoverdine,functional_group,utilization
PYO_41,FG_017,pyoverdine,functional_group,utilization
PYO_42,FG_017,pyoverdine,functional_group,utilization
PYO_43,FG_017,pyoverdine,functional_group,utilization
PYO_44,FG_017,pyoverdine,functional_group,utilization
PYO_45,FG_017,pyoverdine,functional_group,utilization
PYO_53,FG_017,pyoverdine,functional_group,utilization
PYO_54,FG_017,pyoverdine,functional_group,utilization
PYO_90,FG_017,pyoverdine,functional_group,utilization
PYO_91,FG_017,pyoverdine,functional_group,utilization
PYO_92,FG_017,pyoverdine,functional_group,utilization
PYO_93,FG_017,pyoverdine,functional_group,utilization
PYO_12,FG_018,pyoverdine,functional_group,utilization
PYO_13,FG_018,pyoverdine,functional_group,utilization
PYO_90,FG_018,pyoverdine,functional_group,utilization
PYO_91,FG_018,pyoverdine,functional_group,utilization
PYO_92,FG_018,pyoverdine,functional_group,utilization
PYO_93,FG_018,pyoverdine,functional_group,utilization
PYO_12,FG_019,pyoverdine,functional_group,utilization
PYO_13,FG_019,pyoverdine,functional_group,utilization
